,ID_Person,age,race,sex,educ,hhinc,hhtrips,hhsize,companions,wrkhrs,hhveh,distance,cluster
113,700034901.0,28.0,1.0,1.0,6.0,5.0,1.0,2.0,0.0,60.0,0.0,16.747,2.0
114,700034971.0,42.0,1.0,1.0,5.0,9.0,3.0,1.0,0.0,40.0,1.0,3.959,2.0
115,700035051.0,34.0,1.0,2.0,6.0,9.0,4.0,1.0,0.0,60.0,0.0,2.643,0.0
116,700035301.0,55.0,6.0,2.0,5.0,8.0,2.0,1.0,0.0,40.0,0.0,10.291,0.0
117,700035591.0,22.0,1.0,2.0,5.0,6.0,10.0,2.0,1.0,40.0,1.0,7.783,0.0
118,700035611.0,53.0,1.0,2.0,6.0,10.0,8.0,2.0,0.0,50.0,3.0,4.604,0.0
119,700036181.0,76.0,1.0,2.0,5.0,4.0,4.0,1.0,2.0,40.0,1.0,5.75,0.0
120,700036181.0,76.0,1.0,2.0,5.0,4.0,4.0,1.0,2.0,40.0,1.0,6.129,0.0
121,700036221.0,26.0,1.0,2.0,5.0,7.0,4.0,1.0,1.0,50.0,1.0,0.594,0.0
122,700036254.0,11.0,1.0,2.0,1.0,9.0,15.0,4.0,0.0,40.0,3.0,3.365,1.0
123,700036631.0,62.0,1.0,1.0,6.0,10.0,9.0,2.0,3.0,50.0,2.0,4.749,2.0
124,700036631.0,62.0,1.0,1.0,6.0,10.0,9.0,2.0,0.0,50.0,2.0,4.632,2.0
125,700036632.0,55.0,1.0,2.0,5.0,10.0,9.0,2.0,0.0,50.0,2.0,17.438,0.0
126,700036632.0,55.0,1.0,2.0,5.0,10.0,9.0,2.0,0.0,50.0,2.0,17.444,0.0
127,700037092.0,31.0,1.0,2.0,6.0,10.0,9.0,2.0,0.0,45.0,1.0,0.772,0.0
128,700037141.0,42.0,1.0,2.0,6.0,9.0,4.0,1.0,0.0,40.0,0.0,5.412,0.0
129,700037451.0,66.0,1.0,2.0,6.0,8.0,4.0,2.0,1.0,40.0,3.0,4.764,0.0
130,700037451.0,66.0,1.0,2.0,6.0,8.0,4.0,2.0,1.0,40.0,3.0,4.758,0.0
131,700037452.0,61.0,5.0,1.0,6.0,8.0,4.0,2.0,1.0,40.0,3.0,4.764,2.0
132,700037452.0,61.0,5.0,1.0,6.0,8.0,4.0,2.0,1.0,40.0,3.0,4.758,2.0
133,700037612.0,70.0,1.0,1.0,5.0,10.0,10.0,2.0,0.0,35.0,1.0,1.743,2.0
134,700037813.0,15.0,1.0,1.0,1.0,10.0,9.0,3.0,0.0,40.0,1.0,5.9,1.0
135,700037813.0,15.0,1.0,1.0,1.0,10.0,9.0,3.0,0.0,40.0,1.0,2.697,1.0
136,700038301.0,25.0,1.0,2.0,5.0,10.0,7.0,2.0,3.0,32.0,0.0,2.942,0.0
137,700038301.0,25.0,1.0,2.0,5.0,10.0,7.0,2.0,1.0,32.0,0.0,0.729,0.0
138,700038302.0,25.0,1.0,1.0,5.0,10.0,7.0,2.0,10.0,50.0,0.0,3.848,2.0
139,700038631.0,35.0,1.0,2.0,6.0,9.0,10.0,3.0,0.0,40.0,1.0,3.203,0.0
140,700039081.0,43.0,1.0,1.0,6.0,9.0,8.0,2.0,1.0,45.0,1.0,1.953,2.0
141,700039151.0,42.0,1.0,2.0,5.0,9.0,8.0,1.0,0.0,40.0,0.0,5.219,0.0
142,700040221.0,38.0,6.0,2.0,6.0,5.0,3.0,1.0,1.0,45.0,1.0,10.793,0.0
143,700040221.0,38.0,6.0,2.0,6.0,5.0,3.0,1.0,2.0,45.0,1.0,10.091,0.0
144,700040461.0,46.0,1.0,1.0,5.0,10.0,12.0,2.0,0.0,40.0,0.0,0.927,2.0
145,700041391.0,40.0,1.0,2.0,5.0,6.0,3.0,2.0,0.0,20.0,1.0,7.943,0.0
146,700041682.0,73.0,1.0,1.0,5.0,8.0,8.0,2.0,1.0,40.0,2.0,1.057,2.0
147,700042242.0,27.0,1.0,1.0,2.0,5.0,3.0,2.0,2.0,60.0,1.0,18.152,2.0
148,700042974.0,25.0,1.0,2.0,3.0,10.0,17.0,4.0,1.0,14.0,3.0,7.107,0.0
149,700042974.0,25.0,1.0,2.0,3.0,10.0,17.0,4.0,1.0,14.0,3.0,23.373,0.0
150,700043071.0,23.0,1.0,2.0,5.0,10.0,9.0,3.0,0.0,40.0,2.0,5.084,0.0
151,700043071.0,23.0,1.0,2.0,5.0,10.0,9.0,3.0,0.0,40.0,2.0,3.318,0.0
152,700043092.0,29.0,2.0,1.0,3.0,7.0,8.0,2.0,0.0,40.0,1.0,0.726,2.0
153,700043092.0,29.0,2.0,1.0,3.0,7.0,8.0,2.0,0.0,40.0,1.0,0.719,2.0
154,700043234.0,6.0,1.0,1.0,1.0,10.0,4.0,4.0,1.0,40.0,2.0,4.173,1.0
155,700043314.0,12.0,1.0,1.0,1.0,10.0,8.0,4.0,2.0,40.0,2.0,3.011,1.0
156,700043314.0,12.0,1.0,1.0,1.0,10.0,8.0,4.0,0.0,40.0,2.0,3.001,1.0
157,700043322.0,60.0,1.0,1.0,6.0,10.0,7.0,3.0,1.0,50.0,3.0,5.991,2.0
158,700044151.0,50.0,1.0,1.0,6.0,10.0,17.0,2.0,3.0,50.0,2.0,4.25,2.0
159,700044152.0,40.0,1.0,2.0,5.0,10.0,17.0,2.0,2.0,50.0,2.0,1.207,0.0
160,700044152.0,40.0,1.0,2.0,5.0,10.0,17.0,2.0,3.0,50.0,2.0,4.241,0.0
161,700044164.0,10.0,1.0,2.0,1.0,10.0,14.0,5.0,4.0,40.0,2.0,2.395,1.0
162,700044251.0,29.0,1.0,2.0,5.0,7.0,4.0,2.0,1.0,40.0,1.0,23.022,0.0
163,700044441.0,35.0,1.0,1.0,6.0,9.0,10.0,2.0,0.0,55.0,3.0,6.353,2.0
164,700044951.0,31.0,1.0,1.0,6.0,9.0,8.0,2.0,0.0,40.0,1.0,1.162,2.0
165,700045115.0,11.0,1.0,2.0,1.0,10.0,35.0,6.0,3.0,40.0,3.0,1.413,1.0
166,700045116.0,11.0,1.0,2.0,1.0,10.0,35.0,6.0,3.0,40.0,3.0,1.317,1.0
167,700045451.0,63.0,1.0,2.0,5.0,3.0,12.0,1.0,0.0,40.0,0.0,1.175,0.0
168,700046261.0,29.0,1.0,1.0,6.0,10.0,12.0,2.0,0.0,35.0,0.0,6.957,2.0
169,700046525.0,16.0,1.0,2.0,1.0,9.0,10.0,6.0,0.0,40.0,4.0,7.594,1.0
170,700046526.0,13.0,1.0,2.0,1.0,9.0,10.0,6.0,4.0,40.0,4.0,4.908,1.0
171,700046711.0,42.0,3.0,1.0,6.0,9.0,19.0,4.0,0.0,45.0,2.0,18.938,2.0
172,700046711.0,42.0,3.0,1.0,6.0,9.0,19.0,4.0,0.0,45.0,2.0,25.647,2.0
173,700047771.0,23.0,1.0,2.0,5.0,7.0,5.0,1.0,0.0,16.0,0.0,1.041,0.0
174,700047782.0,48.0,1.0,2.0,5.0,9.0,23.0,4.0,1.0,30.0,1.0,6.893,0.0
175,700048041.0,78.0,6.0,2.0,3.0,3.0,4.0,4.0,0.0,56.0,2.0,67.621,0.0
176,700048044.0,78.0,3.0,1.0,5.0,3.0,4.0,4.0,0.0,40.0,2.0,0.028,2.0
177,700048271.0,39.0,1.0,1.0,6.0,10.0,12.0,2.0,0.0,40.0,1.0,1.427,2.0
178,700048302.0,63.0,1.0,1.0,5.0,7.0,5.0,2.0,0.0,40.0,1.0,1.411,2.0
179,700048801.0,33.0,1.0,2.0,6.0,10.0,9.0,3.0,3.0,40.0,1.0,6.863,0.0
180,700049631.0,28.0,1.0,2.0,5.0,9.0,8.0,2.0,0.0,50.0,0.0,5.726,0.0
181,700049631.0,28.0,1.0,2.0,5.0,9.0,8.0,2.0,0.0,50.0,0.0,5.199,0.0
182,700049911.0,34.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,40.0,1.0,0.284,2.0
183,700050172.0,39.0,1.0,2.0,6.0,10.0,10.0,2.0,0.0,40.0,2.0,6.427,0.0
184,700050181.0,31.0,1.0,2.0,6.0,7.0,5.0,1.0,0.0,40.0,0.0,4.492,0.0
185,700050622.0,54.0,1.0,1.0,5.0,10.0,9.0,2.0,1.0,50.0,0.0,11.613,2.0
186,700050622.0,54.0,1.0,1.0,5.0,10.0,9.0,2.0,0.0,50.0,0.0,1.228,2.0
187,700050991.0,26.0,1.0,1.0,5.0,8.0,7.0,1.0,0.0,45.0,1.0,3.168,2.0
188,700051023.0,13.0,6.0,2.0,1.0,10.0,22.0,4.0,4.0,40.0,2.0,5.79,1.0
189,700051024.0,11.0,6.0,1.0,1.0,10.0,22.0,4.0,2.0,40.0,2.0,7.804,1.0
190,700051024.0,11.0,6.0,1.0,1.0,10.0,22.0,4.0,2.0,40.0,2.0,6.236,1.0
191,700051841.0,36.0,1.0,2.0,6.0,10.0,11.0,2.0,0.0,45.0,1.0,3.892,0.0
192,700051842.0,49.0,1.0,1.0,5.0,10.0,11.0,2.0,2.0,50.0,1.0,0.683,2.0
193,700052691.0,32.0,1.0,2.0,5.0,10.0,9.0,2.0,1.0,40.0,1.0,0.902,0.0
194,700052692.0,32.0,1.0,1.0,5.0,10.0,9.0,2.0,1.0,45.0,1.0,0.902,2.0
195,700052703.0,14.0,6.0,1.0,1.0,10.0,12.0,4.0,1.0,40.0,2.0,0.592,1.0
196,700053591.0,54.0,1.0,1.0,6.0,10.0,9.0,2.0,2.0,10.0,1.0,1.041,2.0
197,700053591.0,54.0,1.0,1.0,6.0,10.0,9.0,2.0,1.0,10.0,1.0,1.197,2.0
198,700053592.0,55.0,1.0,2.0,2.0,10.0,9.0,2.0,2.0,40.0,1.0,1.041,0.0
199,700053921.0,38.0,1.0,2.0,6.0,7.0,4.0,1.0,0.0,40.0,1.0,2.153,0.0
200,700053921.0,38.0,1.0,2.0,6.0,7.0,4.0,1.0,0.0,40.0,1.0,2.153,0.0
201,700054131.0,51.0,1.0,1.0,6.0,10.0,15.0,4.0,0.0,40.0,1.0,5.882,2.0
202,700054791.0,37.0,1.0,2.0,6.0,9.0,8.0,2.0,1.0,50.0,1.0,7.272,0.0
203,700054792.0,37.0,97.0,1.0,3.0,9.0,8.0,2.0,1.0,60.0,1.0,7.272,2.0
204,700054841.0,25.0,1.0,2.0,6.0,8.0,8.0,2.0,1.0,40.0,2.0,4.539,0.0
205,700055281.0,28.0,1.0,2.0,4.0,6.0,3.0,1.0,0.0,30.0,0.0,5.96,0.0
206,700055371.0,25.0,1.0,2.0,5.0,1.0,5.0,2.0,0.0,20.0,0.0,6.804,0.0
207,700055681.0,40.0,1.0,2.0,5.0,8.0,4.0,1.0,0.0,40.0,0.0,0.633,0.0
208,700056223.0,41.0,1.0,1.0,6.0,10.0,6.0,3.0,0.0,50.0,0.0,6.0,2.0
209,700056623.0,9.0,1.0,2.0,1.0,7.0,13.0,3.0,4.0,40.0,2.0,0.29,1.0
210,700056631.0,27.0,1.0,1.0,5.0,7.0,5.0,1.0,0.0,50.0,0.0,5.417,2.0
211,700056932.0,42.0,1.0,1.0,5.0,10.0,12.0,2.0,0.0,40.0,1.0,5.202,2.0
212,700056932.0,42.0,1.0,1.0,5.0,10.0,12.0,2.0,0.0,40.0,1.0,1.729,2.0
213,700057041.0,28.0,1.0,1.0,5.0,8.0,14.0,2.0,3.0,40.0,1.0,1.159,2.0
214,700057042.0,29.0,1.0,1.0,6.0,8.0,14.0,2.0,1.0,40.0,1.0,1.419,2.0
215,700057171.0,27.0,1.0,2.0,5.0,6.0,7.0,2.0,1.0,40.0,3.0,5.553,0.0
216,700057171.0,27.0,1.0,2.0,5.0,6.0,7.0,2.0,0.0,40.0,3.0,4.576,0.0
217,700057553.0,16.0,1.0,1.0,1.0,9.0,12.0,3.0,0.0,40.0,3.0,2.275,1.0
218,700057792.0,31.0,2.0,1.0,5.0,9.0,5.0,2.0,0.0,45.0,0.0,1.548,2.0
219,700057901.0,32.0,1.0,1.0,5.0,10.0,12.0,3.0,2.0,50.0,1.0,5.491,2.0
220,700057901.0,32.0,1.0,1.0,5.0,10.0,12.0,3.0,2.0,50.0,1.0,5.858,2.0
221,700057902.0,30.0,1.0,2.0,6.0,10.0,12.0,3.0,2.0,50.0,1.0,5.491,0.0
222,700057902.0,30.0,1.0,2.0,6.0,10.0,12.0,3.0,2.0,50.0,1.0,5.858,0.0
223,700058971.0,33.0,1.0,2.0,6.0,10.0,9.0,5.0,0.0,40.0,1.0,10.527,0.0
224,700058971.0,33.0,1.0,2.0,6.0,10.0,9.0,5.0,0.0,40.0,1.0,1.959,0.0
225,700058991.0,29.0,1.0,1.0,6.0,10.0,4.0,3.0,0.0,40.0,2.0,10.092,2.0
226,700059271.0,39.0,3.0,1.0,6.0,10.0,7.0,2.0,0.0,50.0,1.0,2.556,2.0
